,short_name,version,message,opendap_url
576,M2TMNXLFO,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXLFO.5.12.4/1980/MERRA2_100.tavgM_2d_lfo_Nx.198001.nc4
577,M2TMNXLND,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXLND.5.12.4/1980/MERRA2_100.tavgM_2d_lnd_Nx.198001.nc4
578,M2TMNXOCN,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXOCN.5.12.4/1980/MERRA2_100.tavgM_2d_ocn_Nx.198001.nc4
579,M2TMNXRAD,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXRAD.5.12.4/1980/MERRA2_100.tavgM_2d_rad_Nx.198001.nc4
580,M2TMNXSLV,5.12.4,success,https://goldsmr4.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNXSLV.5.12.4/1980/MERRA2_100.tavgM_2d_slv_Nx.198001.nc4
581,M2TMNPCLD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPCLD.5.12.4/1980/MERRA2_100.tavgM_3d_cld_Np.198001.nc4
582,M2TMNPMST,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPMST.5.12.4/1980/MERRA2_100.tavgM_3d_mst_Np.198001.nc4
583,M2TMNPODT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPODT.5.12.4/1980/MERRA2_100.tavgM_3d_odt_Np.198001.nc4
584,M2TMNPQDT,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPQDT.5.12.4/1980/MERRA2_100.tavgM_3d_qdt_Np.198001.nc4
585,M2TMNPRAD,5.12.4,success,https://goldsmr5.gesdisc.eosdis.nasa.gov/opendap/MERRA2_MONTHLY/M2TMNPRAD.5.12.4/1980/MERRA2_100.tavgM_3d_rad_Np.198001.nc4
